State Code,District Code,India / State / Union Territory / District,Name,Year,Age Group,Gender,Ethnic Group,Literacy Status,Total / Rural / Urban,Value
0,0,India,India,2011,0-14,Female,Buddhist,Literate,Rural,2875691
0,0,India,India,2011,0-14,Female,Buddhist,Illiterate,Rural,955695
0,0,India,India,2011,0-14,Female,Christian,Literate,Rural,2424841
0,0,India,India,2011,0-14,Female,Christian,Illiterate,Rural,749480
0,0,India,India,2011,0-14,Female,Hindu,Literate,Rural,2102276
0,0,India,India,2011,0-14,Female,Hindu,Illiterate,Rural,889955
0,0,India,India,2011,0-14,Female,Jain,Literate,Rural,2534841
0,0,India,India,2011,0-14,Female,Jain,Illiterate,Rural,1164270
0,0,India,India,2011,0-14,Female,Muslim,Literate,Rural,2608076
0,0,India,India,2011,0-14,Female,Muslim,Illiterate,Rural,1093411
0,0,India,India,2011,0-14,Female,Parsi,Literate,Rural,2332647
0,0,India,India,2011,0-14,Female,Parsi,Illiterate,Rural,1034691
0,0,India,India,2011,0-14,Female,Sikh,Literate,Rural,2626308
0,0,India,India,2011,0-14,Female,Sikh,Illiterate,Rural,796624
0,0,India,India,2011,0-14,Male,Buddhist,Literate,Rural,2666616
0,0,India,India,2011,0-14,Male,Buddhist,Illiterate,Rural,835049
0,0,India,India,2011,0-14,Male,Christian,Literate,Rural,2812329
0,0,India,India,2011,0-14,Male,Christian,Illiterate,Rural,1004303
0,0,India,India,2011,0-14,Male,Hindu,Literate,Rural,2743719
0,0,India,India,2011,0-14,Male,Hindu,Illiterate,Rural,995360
0,0,India,India,2011,0-14,Male,Jain,Literate,Rural,2328055
0,0,India,India,2011,0-14,Male,Jain,Illiterate,Rural,1084051
0,0,India,India,2011,0-14,Male,Muslim,Literate,Rural,2962357
0,0,India,India,2011,0-14,Male,Muslim,Illiterate,Rural,883303
0,0,India,India,2011,0-14,Male,Parsi,Literate,Rural,2718780
0,0,India,India,2011,0-14,Male,Parsi,Illiterate,Rural,895207
0,0,India,India,2011,0-14,Male,Sikh,Literate,Rural,2776544
0,0,India,India,2011,0-14,Male,Sikh,Illiterate,Rural,714150
0,0,India,India,2011,0-14,Other,Buddhist,Literate,Rural,2887015
0,0,India,India,2011,0-14,Other,Buddhist,Illiterate,Rural,913069
0,0,India,India,2011,0-14,Other,Christian,Literate,Rural,2785926
0,0,India,India,2011,0-14,Other,Christian,Illiterate,Rural,914849
0,0,India,India,2011,0-14,Other,Hindu,Literate,Rural,2812445
0,0,India,India,2011,0-14,Other,Hindu,Illiterate,Rural,1019756
0,0,India,India,2011,0-14,Other,Jain,Literate,Rural,2963374
0,0,India,India,2011,0-14,Other,Jain,Illiterate,Rural,1227852
0,0,India,India,2011,0-14,Other,Muslim,Literate,Rural,2720079
0,0,India,India,2011,0-14,Other,Muslim,Illiterate,Rural,856992
0,0,India,India,2011,0-14,Other,Parsi,Literate,Rural,2986005
0,0,India,India,2011,0-14,Other,Parsi,Illiterate,Rural,900545
0,0,India,India,2011,0-14,Other,Sikh,Literate,Rural,2502510
0,0,India,India,2011,0-14,Other,Sikh,Illiterate,Rural,1017396
0,0,India,India,2011,15-24,Female,Buddhist,Literate,Rural,2282408
0,0,India,India,2011,15-24,Female,Buddhist,Illiterate,Rural,1018422
0,0,India,India,2011,15-24,Female,Christian,Literate,Rural,2660612
0,0,India,India,2011,15-24,Female,Christian,Illiterate,Rural,684770
0,0,India,India,2011,15-24,Female,Hindu,Literate,Rural,2458484
0,0,India,India,2011,15-24,Female,Hindu,Illiterate,Rural,1003136
0,0,India,India,2011,15-24,Female,Jain,Literate,Rural,2880547
0,0,India,India,2011,15-24,Female,Jain,Illiterate,Rural,1154625
0,0,India,India,2011,15-24,Female,Muslim,Literate,Rural,2655877
0,0,India,India,2011,15-24,Female,Muslim,Illiterate,Rural,783530
0,0,India,India,2011,15-24,Female,Parsi,Literate,Rural,2841322
0,0,India,India,2011,15-24,Female,Parsi,Illiterate,Rural,821352
0,0,India,India,2011,15-24,Female,Sikh,Literate,Rural,2690851
0,0,India,India,2011,15-24,Female,Sikh,Illiterate,Rural,919652
0,0,India,India,2011,15-24,Male,Buddhist,Literate,Rural,2231743
0,0,India,India,2011,15-24,Male,Buddhist,Illiterate,Rural,842602
0,0,India,India,2011,15-24,Male,Christian,Literate,Rural,2531604
0,0,India,India,2011,15-24,Male,Christian,Illiterate,Rural,956424
0,0,India,India,2011,15-24,Male,Hindu,Literate,Rural,2820180
0,0,India,India,2011,15-24,Male,Hindu,Illiterate,Rural,1127998
0,0,India,India,2011,15-24,Male,Jain,Literate,Rural,2706233
0,0,India,India,2011,15-24,Male,Jain,Illiterate,Rural,813694
0,0,India,India,2011,15-24,Male,Muslim,Literate,Rural,2452801
0,0,India,India,2011,15-24,Male,Muslim,Illiterate,Rural,1008291
0,0,India,India,2011,15-24,Male,Parsi,Literate,Rural,2798683
0,0,India,India,2011,15-24,Male,Parsi,Illiterate,Rural,1021907
0,0,India,India,2011,15-24,Male,Sikh,Literate,Rural,3112270
0,0,India,India,2011,15-24,Male,Sikh,Illiterate,Rural,847238
0,0,India,India,2011,15-24,Other,Buddhist,Literate,Rural,2658452
0,0,India,India,2011,15-24,Other,Buddhist,Illiterate,Rural,1061153
0,0,India,India,2011,15-24,Other,Christian,Literate,Rural,2621201
0,0,India,India,2011,15-24,Other,Christian,Illiterate,Rural,764748
0,0,India,India,2011,15-24,Other,Hindu,Literate,Rural,3083853
0,0,India,India,2011,15-24,Other,Hindu,Illiterate,Rural,915571
0,0,India,India,2011,15-24,Other,Jain,Literate,Rural,2722618
