product_id,product_name,category,unit_price
500,Product_500,Toys,267.24
501,Product_501,Home,422.24
502,Product_502,Fitness,455.73
503,Product_503,Fitness,79.72
504,Product_504,Home,418.68
505,Product_505,Toys,438.43
506,Product_506,Toys,115.6
507,Product_507,Toys,414.87
508,Product_508,Fitness,117.39
509,Product_509,Home,239.83
510,Product_510,Electronics,110.31
511,Product_511,Accessories,278.72
512,Product_512,Home,12.07
513,Product_513,Accessories,213.94
514,Product_514,Toys,18.45
515,Product_515,Home,101.3
516,Product_516,Electronics,343.73
517,Product_517,Fitness,260.38
518,Product_518,Electronics,347.75
519,Product_519,Electronics,135.81
520,Product_520,Accessories,428.24
521,Product_521,Fitness,200.41
522,Product_522,Fitness,366.79
523,Product_523,Accessories,105.08
524,Product_524,Electronics,251.49
525,Product_525,Electronics,115.05
526,Product_526,Electronics,314.32
527,Product_527,Electronics,223.41
528,Product_528,Accessories,148.17
529,Product_529,Electronics,106.46
530,Product_530,Toys,26.83
531,Product_531,Toys,122.04
532,Product_532,Toys,483.8
533,Product_533,Home,201.79
534,Product_534,Fitness,464.22
535,Product_535,Accessories,127.52
536,Product_536,Toys,25.59
537,Product_537,Electronics,319.79
538,Product_538,Toys,108.14
539,Product_539,Home,158.54
540,Product_540,Accessories,447.2
541,Product_541,Accessories,260.43
542,Product_542,Accessories,281.47
543,Product_543,Toys,17.44
544,Product_544,Electronics,21.48
545,Product_545,Toys,495.25
546,Product_546,Electronics,256.13
547,Product_547,Home,475.44
548,Product_548,Home,40.98
549,Product_549,Electronics,186.41
550,Product_550,Fitness,47.57
551,Product_551,Home,138.48
552,Product_552,Electronics,210.25
553,Product_553,Toys,360.05
554,Product_554,Accessories,81.85
555,Product_555,Accessories,217.68
556,Product_556,Home,53.92
557,Product_557,Toys,279.42
558,Product_558,Fitness,493.92
559,Product_559,Accessories,478.63
560,Product_560,Home,410.87
561,Product_561,Home,234.63
562,Product_562,Toys,117.57
563,Product_563,Fitness,390.43
564,Product_564,Accessories,147.05
565,Product_565,Home,21.24
566,Product_566,Home,379.25
567,Product_567,Accessories,123.57
568,Product_568,Electronics,313.86
569,Product_569,Accessories,296.72
